"SampleID","Sample","Analyte","spiked_concentration","Estimated_C0","Estimated_C0_error","total_concentration","intensity","predicted_baseline","predicted_proposed","error_baseline","error_proposed","abs_error_baseline","abs_error_proposed"
"250318_163632.mea","pool","anisole",0,0,0,0,21.8577995605082,0.111514887189205,0.198492509397601,0.111514887189205,0.198492509397601,0.111514887189205,0.198492509397601
"250320_030407.mea","pool","anisole",0,0,0,0,28.6889394985472,0.146366236130131,0.260526663594778,0.146366236130131,0.260526663594778,0.146366236130131,0.260526663594778
"250320_162726.mea","pool","anisole",0,0,0,0,22.5670689279772,0.115133462484541,0.204933443957278,0.115133462484541,0.204933443957278,0.115133462484541,0.204933443957278
"250327_130210.mea","pool","anisole",0,0,0,0,26.4604659118471,0.134996931551368,0.240289708217551,0.134996931551368,0.240289708217551,0.134996931551368,0.240289708217551
"250318_184633.mea","pool","anisole",5,0,0,5,642.603599512541,3.78501632578999,6.73719363892851,-1.21498367421001,1.73719363892851,1.21498367421001,1.73719363892851
"250320_051407.mea","pool","anisole",5,0,0,5,633.456128282744,3.72179285092707,6.62465811569309,-1.27820714907293,1.62465811569309,1.27820714907293,1.62465811569309
"250320_183727.mea","pool","anisole",5,0,0,5,625.216458064357,3.66484371494794,6.52329069118641,-1.33515628505206,1.52329069118641,1.33515628505206,1.52329069118641
"250326_213440.mea","pool","anisole",5,0,0,5,630.176760791128,3.69912724171509,6.5843141422299,-1.30087275828491,1.5843141422299,1.30087275828491,1.5843141422299
"250318_153132.mea","pool","anisole",7.5,0,0,7.5,844.773047032598,5.28569737445709,9.40835221392631,-2.21430262554291,1.90835221392631,2.21430262554291,1.90835221392631
"250320_015906.mea","pool","anisole",7.5,0,0,7.5,866.134797369559,5.45696158717243,9.71319638503858,-2.04303841282757,2.21319638503858,2.04303841282757,2.21319638503858
"250320_152224.mea","pool","anisole",7.5,0,0,7.5,870.584033219672,5.49287262073641,9.77711673995122,-2.00712737926359,2.27711673995122,2.00712737926359,2.27711673995122
"250326_202940.mea","pool","anisole",7.5,0,0,7.5,838.902432079033,5.23910930540339,9.32542711784683,-2.26089069459661,1.82542711784683,2.26089069459661,1.82542711784683
"250318_132132.mea","pool","anisole",10,0,0,10,1012.98115475536,6.71665681880953,11.9554088277558,-3.28334318119047,1.95540882775578,3.28334318119047,1.95540882775578
"250319_234908.mea","pool","anisole",10,0,0,10,917.854438068236,5.8836676981525,10.4727179958171,-4.1163323018475,0.472717995817062,4.1163323018475,0.472717995817062
"250320_131223.mea","pool","anisole",10,0,0,10,1056.61215590171,7.1227971455732,12.6783240784353,-2.8772028544268,2.67832407843529,2.8772028544268,2.67832407843529
"250327_140707.mea","pool","anisole",10,0,0,10,823.951619867333,5.12131674783626,9.1157605797801,-4.87868325216374,-0.884239420219899,4.87868325216374,0.884239420219899
"250327_151205.mea","pool","anisole",15,0,0,15,971.331457930384,6.34377627245004,11.2916947962214,-8.65622372754996,-3.70830520377856,8.65622372754996,3.70830520377856
"250318_195135.mea","pool","anisole",15,0,0,15,1302.60316596709,9.79080352680262,17.4272799806236,-5.20919647319738,2.42727998062363,5.20919647319738,2.42727998062363
"250320_061907.mea","pool","anisole",15,0,0,15,1274.12192943978,9.44078499276385,16.8042595130591,-5.55921500723615,1.80425951305909,5.55921500723615,1.80425951305909
"250320_194227.mea","pool","anisole",15,0,0,15,1179.04357911742,8.35888249284397,14.878511771699,-6.64111750715603,-0.121488228300986,6.64111750715603,0.121488228300986
"250318_174132.mea","pool","anisole",20,0,0,20,1462.17064887945,12.0458413095092,21.4411665527042,-7.95415869049082,1.44116655270418,7.95415869049082,1.44116655270418
"250320_040907.mea","pool","anisole",20,0,0,20,1470.86445892244,12.1867120767624,21.691911478316,-7.81328792323756,1.69191147831596,7.81328792323756,1.69191147831596
"250320_173226.mea","pool","anisole",20,0,0,20,1491.09989662049,12.5238426879857,22.2919919043752,-7.47615731201432,2.29199190437522,7.47615731201432,2.29199190437522
"250326_223939.mea","pool","anisole",20,0,0,20,1450.68261979439,11.863174317481,21.1160258423858,-8.13682568251896,1.11602584238575,8.13682568251896,1.11602584238575
"250318_142630.mea","pool","anisole",30,0,0,30,1593.15104731133,14.4559523446394,25.7310779658608,-15.5440476553606,-4.26892203413924,15.5440476553606,4.26892203413924
"250320_005407.mea","pool","anisole",30,0,0,30,1701.01195829789,17.0993725209439,30.4362713029324,-12.9006274790561,0.436271302932351,12.9006274790561,0.436271302932351
"250320_141723.mea","pool","anisole",30,0,0,30,1701.99298473434,17.1273312117824,30.4860367723139,-12.8726687882176,0.486036772313895,12.8726687882176,0.486036772313895
"250327_120003.mea","pool","anisole",30,0,0,30,1520.49118624182,13.0378022424974,23.206821522871,-16.9621977575026,-6.79317847712901,16.9621977575026,6.79317847712901
"250319_001138.mea","s1","anisole",0,0,0,0,24.3050954877639,0.124000587247486,0.220716608785775,0.124000587247486,0.220716608785775,0.124000587247486,0.220716608785775
"250327_225223.mea","s1","anisole",0,0,0,0,25.8110755959454,0.131683849298094,0.234392540342761,0.131683849298094,0.234392540342761,0.131683849298094,0.234392540342761
"250401_212300.mea","s1","anisole",0,0,0,0,33.7188696901957,0.172263525829318,0.306622912701559,0.172263525829318,0.306622912701559,0.172263525829318,0.306622912701559
"250319_022136.mea","s1","anisole",5,0,0,5,703.591753234667,4.21672632264822,7.50562198754022,-0.783273677351779,2.50562198754022,0.783273677351779,2.50562198754022
"250327_183235.mea","s1","anisole",5,0,0,5,621.659051740294,3.64048448104421,6.47993212636671,-1.35951551895579,1.47993212636671,1.35951551895579,1.47993212636671
"250401_222756.mea","s1","anisole",5,0,0,5,712.231838382818,4.27908879191254,7.61662495161534,-0.720911208087465,2.61662495161534,0.720911208087465,2.61662495161534
"250318_230636.mea","s1","anisole",7.5,0,0,7.5,903.856658000439,5.76638335182723,10.263956055578,-1.73361664817277,2.76395605557799,1.73361664817277,2.76395605557799
"250327_172738.mea","s1","anisole",7.5,0,0,7.5,945.079051370175,6.11522955550822,10.8848898170495,-1.38477044449178,3.38488981704951,1.38477044449178,3.38488981704951
"250402_003753.mea","s1","anisole",7.5,0,0,7.5,954.646338382663,6.19801129232424,11.0322383468025,-1.30198870767576,3.53223834680253,1.30198870767576,3.53223834680253
"250318_205635.mea","s1","anisole",10,0,0,10,1192.37392469178,8.50343891529173,15.135817031691,-1.49656108470827,5.13581703169102,1.49656108470827,5.13581703169102
"250327_235720.mea","s1","anisole",10,0,0,10,1141.01605771888,7.95812031409461,14.1651694320646,-2.04187968590539,4.16516943206464,2.04187968590539,4.16516943206464
"250401_233254.mea","s1","anisole",10,0,0,10,1158.05732119761,8.1357800257836,14.4813973625307,-1.8642199742164,4.48139736253073,1.8642199742164,4.48139736253073
"250319_032637.mea","s1","anisole",15,0,0,15,1397.47084790283,11.0626447408781,19.69111183752,-3.93735525912192,4.69111183752002,3.93735525912192,4.69111183752002
"250327_204229.mea","s1","anisole",15,0,0,15,1365.52586720871,10.6142419931406,18.8929709895795,-4.38575800685938,3.89297098957946,4.38575800685938,3.89297098957946
"250401_201804.mea","s1","anisole",15,0,0,15,1420.09112934605,11.3941694326228,20.281213927477,-3.60583056737724,5.281213927477,3.60583056737724,5.281213927477
"250319_011637.mea","s1","anisole",20,0,0,20,1613.59856946964,14.9007374674033,26.5227795707805,-5.09926253259671,6.52277957078045,5.09926253259671,6.52277957078045
"250327_193731.mea","s1","anisole",20,0,0,20,1574.60289664056,14.0714197568334,25.0466237174405,-5.92858024316659,5.04662371744051,5.92858024316659,5.04662371744051
"250402_014250.mea","s1","anisole",20,0,0,20,1573.25689533455,14.0440355451352,24.9978808003748,-5.95596445486482,4.99788080037479,5.95596445486482,4.99788080037479
"250318_220135.mea","s1","anisole",30,0,0,30,1865.77477131839,22.8422010402782,40.6583005994218,-7.1577989597218,10.6583005994218,7.1577989597218,10.6583005994218
"250327_214726.mea","s1","anisole",30,0,0,30,1838.37917348478,21.7824719292221,38.7720206969159,-8.21752807077792,8.77202069691587,8.21752807077792,8.77202069691587
"250402_024748.mea","s1","anisole",30,0,0,30,1862.27198507649,22.7068876802774,40.4174476598855,-7.29311231972261,10.4174476598855,7.29311231972261,10.4174476598855
"250321_000226.mea","s2","anisole",0,0,0,0,23.7131982330133,0.120980825106819,0.215341540216967,0.120980825106819,0.215341540216967,0.120980825106819,0.215341540216967
"250328_062704.mea","s2","anisole",0,0,0,0,24.8633397619843,0.126848657433662,0.225786071818415,0.126848657433662,0.225786071818415,0.126848657433662,0.225786071818415
"250331_143947.mea","s2","anisole",0,0,0,0,24.1760497236882,0.123342217049547,0.219544733388729,0.123342217049547,0.219544733388729,0.123342217049547,0.219544733388729
"250321_021224.mea","s2","anisole",5,0,0,5,687.502952205328,4.10109340635264,7.29979953366884,-0.898906593647355,2.29979953366884,0.898906593647355,2.29979953366884
"250328_020716.mea","s2","anisole",5,0,0,5,666.763758713091,3.95393356298596,7.03786027758682,-1.04606643701404,2.03786027758682,1.04606643701404,2.03786027758682
"250331_154444.mea","s2","anisole",5,0,0,5,723.815387744087,4.36362548861197,7.76709724717158,-0.636374511388025,2.76709724717158,0.636374511388025,2.76709724717158
