"SampleID","concentration","anisole","heptanone","pentanone"
"250325_140659.mea",5,637.152259893159,1011.90502206123,3798.17912890273
"250325_151158.mea",20,1371.8132479262,1990.05207464289,4588.39413290037
"250325_172157.mea",30,1666.8000844077,2470.09736930209,5203.78065510847
"250325_182659.mea",0,33.2058731937946,574.45555580875,3182.91834905993
"250325_193200.mea",10,1008.76585712598,1572.92288989741,4030.56429035833
"250331_221432.mea",0,34.3137062892685,617.105293354593,4154.43213314585
"250331_231931.mea",5,644.244324845055,1145.77061187418,4417.32455689909
"250401_002429.mea",10,1012.77478056234,1543.54076385406,4521.14019664491
"250401_023423.mea",20,1432.09792703411,2092.93603663886,5075.24752332381
"250401_033921.mea",30,1633.68538168181,2461.9396126317,5429.15850517934
"250402_133628.mea",0,32.563784540934,617.566552244778,4065.15504268923
"250402_144124.mea",5,641.161177827723,1126.14539902492,4304.51551558475
"250402_154623.mea",10,1012.52142792594,1588.08529816585,4550.48603589561
"250402_175616.mea",20,1442.44510035415,2127.53756526151,5011.71267780744
"250402_190114.mea",30,1686.15868094906,2500.17050052584,5314.97997174953
"250325_130159.mea",7.5,717.692978997685,1171.89183711662,3494.85374883575
"250325_161659.mea",15,1237.13543830102,1826.21462692979,4302.95571734041
"250331_210933.mea",15,1263.22800421425,1863.25948475704,4812.74316734028
"250401_012927.mea",7.5,811.949484544131,1292.42749186617,4689.5261343245
"250402_123133.mea",15,1230.72958095177,1885.57094449114,4752.51554541443
"250402_165120.mea",7.5,829.41399406823,1293.1885469166,4374.01374570232
