"SampleID","concentration","anisole","heptanone","pentanone"
"250318_205635.mea",10,1192.37392469178,1433.30040411086,2641.41376198505
"250318_220135.mea",30,1865.77477131839,2474.08444722427,3830.49100791682
"250319_001138.mea",0,24.3050954877639,171.815672860427,2015.35739781449
"250319_011637.mea",20,1613.59856946964,2121.73887564995,3344.3154308722
"250319_022136.mea",5,703.591753234667,862.449972113242,2278.50594797455
"250327_183235.mea",5,621.659051740294,844.13237506591,2548.45378655983
"250327_193731.mea",20,1574.60289664056,2163.46212275551,3305.56386649603
"250327_214726.mea",30,1838.37917348478,2601.7404213056,3960.0852164232
"250327_225223.mea",0,25.8110755959454,180.967795699012,2149.36425399076
"250327_235720.mea",10,1141.01605771888,1449.19065604523,2961.34013596152
"250401_212300.mea",0,33.7188696901957,169.084973651035,2095.42761643869
"250401_222756.mea",5,712.231838382818,881.995336001192,2435.23859545824
"250401_233254.mea",10,1158.05732119761,1473.70331317069,2665.7658257283
"250402_014250.mea",20,1573.25689533455,2186.64945471182,3555.28311326194
"250402_024748.mea",30,1862.27198507649,2623.7406672338,3922.36338308791
"250318_230636.mea",7.5,903.856658000439,1155.7458423693,2519.93692734066
"250319_032637.mea",15,1397.47084790283,1850.23434474259,3065.64534370471
"250327_172738.mea",7.5,945.079051370175,1380.06594614355,2992.89376763929
"250327_204229.mea",15,1365.52586720871,1777.44436941068,3207.19536629833
"250401_201804.mea",15,1420.09112934605,1900.01654652043,3255.06888876768
"250402_003753.mea",7.5,954.646338382663,1235.07435295415,2505.06385431427
