"SampleID","concentration","anisole","heptanone","pentanone","c_anisole","c_heptanone","c_pentanone"
"250319_161407.mea",10,1331.7962596677,1428.0007189413,286.258757493052,10.3256285299986,10.0190244636022,10.1807518643477
"250319_171906.mea",30,2088.77304264369,2649.97034627633,623.640089909097,30.3256285299986,30.0190244636022,30.1807518643477
"250319_192906.mea",0,44.5668818918044,10.5444192358039,6.49975413971604,0.325628529998565,0.019024463602169,0.180751864347705
"250319_203406.mea",20,1862.00772397727,2228.38719687799,486.824271841817,20.3256285299986,20.0190244636022,20.1807518643477
"250319_213905.mea",5,885.651175483613,761.711204515844,152.780704939503,5.32562852999856,5.01902446360217,5.1807518643477
"250324_171241.mea",5,934.592698992467,907.657092556394,118.935941642483,5.32562852999856,5.01902446360217,5.1807518643477
"250324_181740.mea",20,1723.97449871101,1942.96857572496,304.565195100216,20.3256285299986,20.0190244636022,20.1807518643477
"250324_202741.mea",30,2140.55024568164,2606.54380854383,554.830026009169,30.3256285299986,30.0190244636022,30.1807518643477
"250324_213242.mea",0,61.3683035489039,14.2458164034006,8.02197723260464,0.325628529998565,0.019024463602169,0.180751864347705
"250324_223743.mea",10,1170.54422276111,1157.47950738298,147.763288967938,10.3256285299986,10.0190244636022,10.1807518643477
"250325_214201.mea",5,866.780970323102,622.11203228488,68.056061960999,5.32562852999856,5.01902446360217,5.1807518643477
"250325_224704.mea",20,1818.69035355216,2168.85557374269,345.937065593802,20.3256285299986,20.0190244636022,20.1807518643477
"250326_005705.mea",30,2123.69583411803,2623.80869818557,553.686351872351,30.3256285299986,30.0190244636022,30.1807518643477
"250326_020204.mea",0,45.1050963329287,13.2206856408559,5.89412957585756,0.325628529998565,0.019024463602169,0.180751864347705
"250326_030705.mea",10,1357.43726567761,1445.30900212654,211.76811908698,10.3256285299986,10.0190244636022,10.1807518643477
"250326_135939.mea",5,870.644552932313,787.331166606309,141.978630488638,5.32562852999856,5.01902446360217,5.1807518643477
"250326_150440.mea",20,1838.7226539453,2162.62699714403,415.556953809607,20.3256285299986,20.0190244636022,20.1807518643477
"250326_171440.mea",30,2106.476378782,2733.84703954141,525.229726442746,30.3256285299986,30.0190244636022,30.1807518643477
"250326_181939.mea",0,52.0608621025602,14.2496200409699,8.66001372981793,0.325628529998565,0.019024463602169,0.180751864347705
"250326_192440.mea",10,1340.99296775791,1415.0266020115,229.392602672971,10.3256285299986,10.0190244636022,10.1807518643477
"250319_182405.mea",7.5,1111.51780178991,1177.96141737341,211.15314511228,7.82562852999856,7.51902446360217,7.6807518643477
"250319_224406.mea",15,1675.85051323358,1976.0293621867,380.165919317853,15.3256285299986,15.0190244636022,15.1807518643477
"250324_160741.mea",7.5,1284.76797661274,1460.81984644115,253.671504465842,7.82562852999856,7.51902446360217,7.6807518643477
"250324_192240.mea",15,1645.72875967725,1899.07175925096,271.38729663014,15.3256285299986,15.0190244636022,15.1807518643477
"250325_203700.mea",7.5,1043.05436938436,1158.14859027261,129.892466814534,7.82562852999856,7.51902446360217,7.6807518643477
"250325_235204.mea",15,1644.08744906344,1804.52480448135,338.766090190391,15.3256285299986,15.0190244636022,15.1807518643477
"250326_125438.mea",7.5,1090.29954494164,1117.44772458909,174.263018905145,7.82562852999856,7.51902446360217,7.6807518643477
"250326_160940.mea",15,1579.37365053148,1796.33299558863,338.604128378759,15.3256285299986,15.0190244636022,15.1807518643477
